PdfType: replica
Format: lhagrid1
---
0.00119475 0.0016601 0.0023067 0.00320514 0.00445353 0.00618817 0.00859843 0.0119475 0.016601 0.023067 0.0320515 0.0445354 0.0618817 0.0859843 0.119475 0.16601 0.23067 0.320515 0.445354 0.618817 0.859843 1.0
0.1E+001 0.1E+007
-13 13
0.161675 0.126835
0.161675 0.126835
0.169287 0.158317
0.169287 0.158317
0.213445 0.234655
0.213445 0.234655
0.21877 0.20109
0.21877 0.20109
0.239635 0.180927
0.239635 0.180927
0.226726 0.161808
0.226726 0.161808
0.190083 0.110988
0.190083 0.110988
0.151904 0.0725394
0.151904 0.0725394
0.138785 0.0956687
0.138785 0.0956687
0.115169 0.0634468
0.115169 0.0634468
0.129677 0.058261
0.129677 0.058261
0.137883 0.0887852
0.137883 0.0887852
0.18958 0.118783
0.18958 0.118783
0.139942 0.160955
0.139942 0.160955
0.133917 0.206391
0.133917 0.206391
0.0558264 0.530053
0.0558264 0.530053
0.0152329 0.448206
0.0152329 0.448206
0.00618206 0.182417
0.00618206 0.182417
0.000413919 0.0822694
0.000413919 0.0822694
0 0.0088401
0 0.0088401
0 0
0 0
0.0 0.0
0.0 0.0
---
