bin, x_center, entries, mean, rms
1,0,0,0,0
2,1,0,0,0
3,2,0,0,0
4,3,111,-0.361937,0.483133
5,4,110,-0.242636,0.525267
6,5,87,-0.161322,0.531121
7,6,118,-0.151271,0.559558
8,7,108,-0.209537,0.555935
9,8,120,-0.0760833,0.57255
10,9,97,-0.0622165,0.532045
11,10,81,0.0695679,0.52499
12,11,5013,0.221553,0.284827
13,12,0,0,0
14,13,0,0,0
15,14,0,0,0
16,15,0,0,0
17,16,0,0,0
18,17,0,0,0
19,18,0,0,0
20,19,0,0,0
21,20,0,0,0
22,21,0,0,0
23,22,0,0,0
24,23,0,0,0
25,24,0,0,0
26,25,0,0,0
27,26,0,0,0
28,27,0,0,0
29,28,0,0,0
30,29,0,0,0
31,30,0,0,0
32,31,0,0,0
33,32,0,0,0
34,33,0,0,0
35,34,0,0,0
36,35,0,0,0
37,36,0,0,0
38,37,0,0,0
39,38,0,0,0
40,39,0,0,0
41,40,0,0,0
42,41,0,0,0
43,42,0,0,0
44,43,0,0,0
45,44,0,0,0
